url,artist,name,artist_pop,track_pop,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,bpm,time_signature,duration_ms,app,release_date,image,songplay,C1,M1,K1,mode,key,camelot,
spotify:track:29d0nY7TzCoi22XBqDQkiP,Kate Bush,Running Up That Hill (A Deal With God),81,95,0.629,0.547,-13.123,0.055,0.72,0.00314,0.0604,0.197,108.375,4,298933,tiktok,9/16/1985,https://i.scdn.co/image/ab67616d0000b2735c390e413e27798edd4d18b4,https://p.scdn.co/mp3-preview/9f110dbdde66d0a4f3151a67dab5b1b61d6770c1?cid=774b29d4f13844c495f206cafdad9c86,10A,0,10,11,A,11A,
spotify:track:4LRPiXqCikLlN15c3yImP7,Harry Styles,As It Was,91,96,0.52,0.731,-5.338,0.0557,0.342,0.00101,0.311,0.662,173.93,4,167303,tiktok,3/31/2022,https://i.scdn.co/image/ab67616d0000b273b46f74097655d7f353caab14,https://p.scdn.co/mp3-preview/c871f7a3b36ad708640a833fbf7a0b9e84c5b688?cid=774b29d4f13844c495f206cafdad9c86,6A,0,6,7,A,7A,
spotify:track:4h4QlmocP3IuwYEj2j14p8,Nicky Youre,Sunroof,73,44,0.768,0.716,-5.11,0.0404,0.35,0,0.15,0.841,131.43,4,163026,tiktok,12/3/2021,https://i.scdn.co/image/ab67616d0000b2730ed2184bf3fb4466d623a874,https://p.scdn.co/mp3-preview/7c8b08cc640f6065a2daaf7d92ee49a640d8c4b8?cid=774b29d4f13844c495f206cafdad9c86,10B,1,10,11,B,11B,
spotify:track:3USxtqRwSYz57Ewm6wWRMp,Glass Animals,Heat Waves,80,89,0.761,0.525,-6.9,0.0944,0.44,6.7E-06,0.0921,0.531,80.87,4,238805,tiktok,8/7/2020,https://i.scdn.co/image/ab67616d0000b273712701c5e263efc8726b1464,https://p.scdn.co/mp3-preview/1ac449e52145d1c44dc4346afdb2d8b70e93969b?cid=774b29d4f13844c495f206cafdad9c86,11B,1,11,12,B,12B,
spotify:track:1PckUlxKqWQs3RlWXVBLw3,Lizzo,About Damn Time,81,92,0.836,0.743,-6.305,0.0656,0.0995,0,0.335,0.722,108.966,4,191822,tiktok,4/14/2022,https://i.scdn.co/image/ab67616d0000b273b817e721691aff3d67f26c04,https://p.scdn.co/mp3-preview/1e881f08e10f2f8dbac20185389fdacb1ea42342?cid=774b29d4f13844c495f206cafdad9c86,10A,0,10,11,A,11A,
spotify:track:6xGruZOHLs39ZbVccQTuPZ,Joji,Glimpse of Us,85,97,0.44,0.317,-9.258,0.0531,0.891,4.78E-06,0.141,0.268,169.914,3,233456,tiktok,6/10/2022,https://i.scdn.co/image/ab67616d0000b27308596cc28b9f5b00bfe08ae7,https://p.scdn.co/mp3-preview/071c22f355ed0d03fdc176dcb25a487f5ffb661c?cid=774b29d4f13844c495f206cafdad9c86,8B,1,8,9,B,9B,
spotify:track:4k6Uh1HXdhtusDW5y8Gbvy,Steve Lacy,Bad Habit,83,86,0.686,0.494,-7.093,0.0355,0.613,5.8E-05,0.402,0.7,168.946,4,232067,tiktok,7/15/2022,https://i.scdn.co/image/ab67616d0000b27368968350c2550e36d96344ee,https://p.scdn.co/mp3-preview/b46cf3781e6cbe5bd01b8a81e333899c7f9cdfc5?cid=774b29d4f13844c495f206cafdad9c86,1B,1,1,2,B,2B,
spotify:track:5HCyWlXZPP0y6Gqq8TgA20,The Kid LAROI,STAY (with Justin Bieber),83,89,0.591,0.764,-5.484,0.0483,0.0383,0,0.103,0.478,169.928,4,141806,tiktok,7/9/2021,https://i.scdn.co/image/ab67616d0000b27341e31d6ea1d493dd77933ee5,https://p.scdn.co/mp3-preview/40a8daf1f3cbb5c6363e68de859ba4af3377344c?cid=774b29d4f13844c495f206cafdad9c86,1B,1,1,2,B,2B,
spotify:track:3CIyK1V4JEJkg02E4EJnDl,Imagine Dragons,Enemy (with JID) - from the series Arcane League of Legends,88,87,0.728,0.783,-4.424,0.266,0.237,0,0.434,0.555,77.011,4,173381,tiktok,7/1/2022,https://i.scdn.co/image/ab67616d0000b273fc915b69600dce2991a61f13,https://p.scdn.co/mp3-preview/6c8b19c6577e6cd15cac5dc5eb9aaccdb209a4bf?cid=774b29d4f13844c495f206cafdad9c86,11A,0,11,12,A,12A,
spotify:track:0wHFktze2PHC5jDt3B17DC,Jack Harlow,First Class,84,89,0.905,0.563,-6.135,0.102,0.0254,9.71E-06,0.113,0.324,106.998,4,173948,tiktok,5/6/2022,https://i.scdn.co/image/ab67616d0000b2738e55edb69ca44a25b52b17bb,https://p.scdn.co/mp3-preview/ec2263e955b141e70aaa78b0817cf253e74224f8?cid=774b29d4f13844c495f206cafdad9c86,8B,1,8,9,B,9B,
